frame,tracker,timestamp,predict_us,associate_us,update_us,create_delete_us,total_us,num_tracks,num_detections
1,object,22288.306985611,2.0509978639893234,3.9280021155718714,1.5240002539940178,73.29299842240289,80.7959986559581,1,1
2,object,22288.336244266,91.53700011665933,245.70999812567607,42.00600233161822,9.123999916482717,388.37700049043633,1,1
3,object,22288.359486657,48.3900003018789,131.80200039641932,29.844999517081305,3.3940013963729143,213.43100161175244,1,1
4,object,22288.383786397,53.41200085240416,147.13299970026128,41.818999306997284,17.276001017307863,259.6400008769706,1,1
5,object,22288.410953098,31.462001061299816,115.31800191733055,24.5789997279644,2.7379974198993295,174.0970001264941,1,1
6,object,22288.437844658,43.675998313119635,129.52199904248118,25.896002625813708,3.416000254219398,202.51000023563392,1,1
7,object,22288.465818361,70.60300049488433,298.2259975397028,35.364999348530546,3.7180034269113094,407.912000810029,1,1
8,object,22288.492095967,63.99099947884679,168.00599769339897,30.77400106121786,4.8629990487825125,267.6339972822461,1,1
9,object,22288.516467347,57.440000091446564,179.14099953486584,44.879001507069916,5.0769995141308755,286.5370006475132,1,1
10,object,22288.541929996,75.57799835922197,178.25800023274496,57.219000154873356,6.441001460189,317.4960002070293,1,1
11,object,22288.566411439,42.898001993307844,114.46799908298999,24.985001800814644,3.0949995561968535,185.44600243330933,1,1
12,object,22288.592996234,96.19499905966222,321.4780008420348,37.92299685301259,5.618003342533484,461.2140000972431,1,1
13,object,22288.617826679,42.792999010998756,111.71900041517802,33.27900049043819,3.8660000427626073,191.65699995937757,1,1
14,object,22288.643350855,98.489999800222,244.9429994157981,50.396000006003305,5.449001037050039,399.27800025907345,1,1
15,object,22288.667928931,58.445999457035214,178.143000084674,42.949999624397606,4.4919979700353,284.0309971361421,1,1
16,object,22288.692592746,45.63200127449818,125.82399722305126,26.603000151226297,2.958000550279394,201.01699919905514,1,1
17,object,22288.718288999,56.19700095849112,111.9599983212538,25.72399898781441,3.177003236487508,197.05800150404684,1,1
18,object,22288.744541905,113.47200052114204,161.78300211322494,32.256000849884,4.448997060535476,311.96000054478645,1,1
19,object,22288.768566945,65.76699888682924,140.79900211072527,33.750999136827886,3.7669997254852206,244.08399985986762,1,1
20,object,22288.792960838,146.190999657847,298.1040015583858,61.95199966896325,7.168000593082979,513.415001478279,1,1
21,object,22288.818737315,147.84700033487752,388.87800110387616,51.276998419780284,6.484002369688824,594.4860022282228,1,1
22,object,22288.842104068,91.41799819190055,216.28200192935765,30.955998227000237,3.797002136707306,342.45300048496574,1,1
23,object,22288.867715441,50.741000450216234,161.38800128828734,32.93699774076231,4.6339991968125105,249.6999986760784,1,1
24,object,22288.891357586,57.321001804666594,213.43399930628948,51.278999308124185,6.592999852728099,328.62700027180836,1,1
25,object,22288.918236508,104.56599920871668,218.49499898962677,53.69000064092688,5.375000910134986,382.1259997494053,1,1
26,object,22288.943302802,94.75299884798005,171.5380021778401,30.11599983437918,3.224999090889469,299.6319999510888,1,1
27,object,22288.967968972,64.4550018478185,128.70099817519076,25.508001272100955,3.5769990063272417,222.24100030143745,1,1
28,object,22288.993521699,169.15000014705583,524.673996551428,91.21100083575584,6.68199936626479,791.7169969005045,1,1
29,object,22289.02237043,52.76400042930618,151.82299830485135,34.41399894654751,4.639001417672262,243.6399990983773,1,1
30,object,22289.046893775,80.67700036917813,218.64899827050976,49.354999646311626,4.812001861864701,353.4930001478642,1,1
31,object,22289.071957929,35.5140000465326,113.14899893477559,26.318997697671875,2.836000930983573,177.81799760996364,1,1
32,object,22289.097111381,56.241999118356034,142.12799942470156,31.403000321006402,3.707998985191807,233.4809978492558,1,1
33,object,22289.122032668,41.30399975110777,275.21399897523224,62.86899952101521,4.534002073341981,383.9210003206972,1,1
34,object,22289.14941557,68.28800178482197,268.55800024350174,27.6809987553861,3.7899990275036544,368.31699981121346,1,1
35,object,22289.173668651,70.53199806250632,164.9229998292867,27.43900040513836,3.5939992812927812,266.48799757822417,1,1
36,object,22289.199525638,44.69900159165263,115.60599887161516,28.83200068026781,3.0459996196441352,192.18300076317973,1,1
37,object,22289.224180999,54.768999689258635,121.64500003564171,25.125998945441097,3.197001205990091,204.73699987633154,1,1
38,object,22289.248855957,124.00199921103194,221.5530003013555,51.34099774295464,4.987003194401041,401.8830004497431,1,1
39,object,22289.277098923,114.39099762355909,264.2979998199735,56.72800034517422,9.072002285392955,444.48900007409975,1,1
40,object,22289.3004179,77.70599768264219,205.59800032060593,47.811001422815025,4.49499930255115,335.6099987286143,1,1
41,object,22289.325889918,45.47600110527128,131.95800056564622,27.22999852267094,3.2819989428389817,207.94599913642742,1,1
42,object,22289.352523197,44.98299676924944,194.7939999809023,29.710001399507746,3.4129989217035472,272.89999707136303,1,1
43,object,22289.377215308,44.66099926503375,161.19500287459232,64.6659973426722,7.826001819921657,278.3480013022199,1,1
44,object,22289.405917044,41.56700015300885,211.7869989888277,49.00899875792675,4.66799974674359,307.0309976465069,1,1
45,object,22289.43005069,45.848999434383586,197.16500173672102,41.070998122449964,4.823999915970489,288.90899920952506,1,1
46,object,22289.454503151,57.19000182580203,211.69499814277515,55.798001994844526,7.173999620135874,331.8570015835576,1,1
47,object,22289.480022159,113.55499736964703,193.0210019054357,37.08399890456349,4.287001502234489,347.9469996818807,1,1
48,object,22289.504459575,41.19000004720874,213.4569986083079,31.12199919996783,6.588001269847155,292.35699912533164,1,1
49,object,22289.532639998,76.24499994562939,345.0500007602386,160.6820005690679,13.619999663205817,595.5970009381417,1,1
50,object,22289.557246635,61.71700078994036,164.91200221935287,45.100998249836266,4.7530011215712875,276.4830023807008,1,1
51,object,22289.582725793,51.42800000612624,136.82400094694458,32.11299917893484,3.8610014598816633,224.22600159188733,1,1
52,object,22289.608514099,330.8300001663156,738.9409984170925,58.572000853018835,18.009999621426687,1146.3529990578536,1,1
53,object,22289.631197405,48.02799958270043,129.51100143254735,28.747999749612063,3.6429992178454995,209.92999998270534,1,1
54,object,22289.656930546,196.94100046763197,434.25900003057905,82.73999992525205,12.592001439770684,726.5320018632337,1,1
55,object,22289.682661846,407.381998229539,454.7690004983451,130.6930025748443,16.677000530762598,1009.521001833491,1,1
56,object,22289.707544977,149.80699779698625,434.0429986768868,79.59800132084638,13.222001143731177,676.6699989384506,1,1
57,object,22289.733839325,771.021001128247,3035.747999092564,327.8229996794835,22.30600148322992,4156.898001383524,1,1
58,object,22289.757222315,505.7070011389442,1017.7900003327522,153.8600008643698,29.08999886130914,1706.4470011973754,1,1
59,object,22289.778494921,51.69400174054317,122.58700007805601,32.77999712736346,4.51199957751669,211.57299852347933,1,1
60,object,22289.808618954,89.58800026448444,266.65399855119176,75.19700011471286,6.967999070184305,438.40699800057337,1,1
61,object,22289.830737944,191.43799727316946,575.9590021625627,123.10300007811747,16.091998986667022,906.5919985005166,1,1
62,object,22289.856075368,51.212002290412784,146.83099652756937,35.590001061791554,4.176999937044457,237.80999981681816,1,1
63,object,22289.880291533,115.99499703152105,332.7090016682632,103.03599992766976,20.25099820457399,571.990996832028,1,1
64,object,22289.90171363,65.38700108649209,142.9190015187487,26.63699706317857,5.240002792561427,240.1830024609808,1,1
65,object,22289.925499606,61.295999330468476,163.95800048485398,32.36799966543913,3.9750011637806892,261.5970006445423,1,1
66,object,22289.952095726,67.83600110793486,204.91900068009272,35.84499791031703,9.056999260792509,317.6569989591371,1,1
67,object,22289.974662859,68.96899867570028,223.91899983631447,71.91199983935803,7.365000783465803,372.1649991348386,1,1
68,object,22289.999555818,35.917997593060136,125.45299978228286,27.631002012640238,3.0769988370593637,192.0789982250426,1,1
69,object,22290.023211575,97.07899880595505,196.4370021596551,30.573999538319185,3.9379992813337594,328.0279997852631,1,1
70,object,22290.046403792,95.40500104776584,204.04499809956178,36.08800034271553,10.481002391315997,346.01900188135915,1,1
71,object,22290.07320013,69.164001615718,254.44199854973704,30.978000722825527,4.896999598713592,359.48100048699416,1,1
72,object,22290.09610675,125.96500164363533,284.97799939941615,59.06300066271797,7.949998689582571,477.956000395352,1,1
73,object,22290.121832491,78.4679978096392,296.12400248879567,67.36999785061926,17.718000890454277,459.6799990395084,1,1
74,object,22290.14450438,107.20299906097353,317.7799990226049,52.85099905449897,10.317002306692302,488.1509994447697,1,1
75,object,22290.16785741,275.3429980657529,531.7930008459371,82.72099876194261,13.554003089666367,903.411000763299,1,1
76,object,22290.191854428,44.49900006875396,125.7049989362713,24.60899850120768,3.017001290572807,197.82999879680574,1,1
77,object,22290.219454465,243.77400040975772,778.2809989294037,122.50099825905636,26.775000151246786,1171.3309977494646,1,1
78,object,22290.241324823,39.358001231448725,110.81199772888795,25.335000827908516,3.178000042680651,178.68299983092584,1,1
79,object,22290.266495973,58.69999949936755,142.9010007996112,34.085001971106976,5.81199856242165,241.4980008325074,1,1
80,object,22290.290221579,48.69899930781685,123.5210002050735,25.468998501310125,3.550001565599814,201.2389995798003,1,1
81,object,22290.314512459,40.53699740325101,199.36600074288435,36.09200211940333,4.325996997067705,280.3209972626064,1,1
82,object,22290.340604322,167.5890016485937,441.1139998410363,98.41700011747889,15.781999536557123,722.902001143666,1,1
83,object,22290.364166067,73.71500032604672,322.13300073635764,39.45199932786636,12.276999768801033,447.57700015907176,1,1
84,object,22290.389407298,68.80100045236759,200.16599955852143,49.547001253813505,8.484999852953479,326.999001117656,1,1
85,object,22290.413279912,50.26299913879484,181.88800095231272,28.003996703773737,4.612000338966027,264.7669971338473,1,1
86,object,22290.437021104,152.0449986855965,591.6299996897578,82.77800225187093,18.356000509811565,844.8090011370368,1,1
87,object,22290.460451114,52.24200140219182,161.33600001921877,37.51500116777606,5.560999852605164,256.6540024417918,1,1
88,object,22290.486676436,232.27400015457533,575.4089979745913,132.48500181362033,10.019997716881335,950.1879976596683,1,1
89,object,22290.508399436,161.12099910969846,212.20000053290278,32.92700057500042,4.176999937044457,410.4250001546461,1,1
90,object,22290.534252414,141.86300177243538,285.5439997802023,67.27099753334187,10.36700268741697,505.0450017733965,1,1
91,object,22290.55714633,74.38800093950704,185.9439980762545,42.36400127410889,5.090998456580564,307.786998746451,1,1
92,object,22290.580031978,136.84300211025402,270.2530000533443,42.76199979358353,6.119000317994505,455.97700227517635,1,1
93,object,22290.607162448,100.887002190575,161.87599976547062,29.514998459490016,3.5560005926527083,295.83400100818835,1,1
94,object,22290.629761738,39.36600114684552,118.46099732792936,28.943002689629793,4.460998752620071,191.23099991702475,1,1
95,object,22290.654405091,79.21699943835847,169.57999832811765,38.72100205626339,6.880000000819564,294.3979998235591,1,1
96,object,22290.678726089,42.74099774193019,114.95900253066793,25.14599691494368,3.468001523287967,186.31399871082976,1,1
97,object,22290.702252393,54.46200157166459,212.91699886205606,36.699999327538535,4.41200245404616,308.49100221530534,1,1
98,object,22290.727721859,74.33800055878237,179.9609999579843,49.43599924445152,8.263003110187128,311.99800287140533,1,1
99,object,22290.752145202,46.58100078813732,210.25499881943688,30.700000934302807,4.671997885452583,292.2079984273296,1,1
100,object,22290.777259334,103.96200013929047,257.7179984655231,57.39499829360284,4.943001840729266,424.0179987391457,1,1
101,object,22290.801921284,60.46699854778126,193.1490005517844,48.6290009575896,4.7770008677616715,307.02200092491694,1,1
102,object,22290.82532809,46.790002670604736,134.03299817582592,32.103002013172954,3.5439989005681127,216.47000176017173,1,1
103,object,22290.850615412,52.718998631462455,158.92500232439488,32.57999924244359,5.236997822066769,249.4609980203677,1,1
104,object,22290.875811408,51.40799839864485,161.34299949044362,45.19900176092051,6.156999006634578,264.10699865664355,1,1
105,object,22290.899158863,34.86099740257487,118.71400056406856,24.864999431883916,2.93500124826096,181.3749986467883,1,1
106,object,22290.924387238,51.266000809846446,134.3910007562954,24.73199856467545,3.6999990697950125,214.0889992006123,1,1
107,object,22290.949454577,46.82600047090091,125.13700130512007,27.589998353505507,4.351000825408846,203.90400095493533,1,1
108,object,22290.974131471,33.350999729009345,108.14900088007562,25.48100019339472,2.5139997887890786,169.49500059126876,1,1
109,object,22291.001434005,48.29400131711736,142.58199735195376,31.965999369276688,3.7340032577048987,226.5760012960527,1,1
110,object,22291.025117418,58.568999520502985,234.1639992664568,50.449001719243824,4.696998075814918,347.87899858201854,1,1
111,object,22291.04940086,37.59399987757206,121.2009992741514,28.72800178010948,3.5329976526554674,191.0559985844884,1,1
112,object,22291.07390482,40.55200042785145,117.34500003512949,27.117999707115814,3.2339994504582137,188.24899962055497,1,1
113,object,22291.097792945,40.90600123163313,138.332001370145,27.73400046862662,12.360000255284831,219.33200332568958,1,1
114,object,22291.123355553,47.456996981054544,107.35100295278244,28.417998692020774,3.654000465758145,186.8799990916159,1,1
115,object,22291.148611757,45.85200076689944,138.7190022796858,31.285999284591526,4.8340007197111845,220.69100305088796,1,1
116,object,22291.173021533,44.34199945535511,121.22000043746084,27.30500273173675,3.3389987947884947,196.2060014193412,1,1
117,object,22291.197246247,48.47499803872779,241.4900009171106,79.77299901540391,5.4820011428091675,375.21999911405146,1,1
118,object,22291.221651378,49.817997933132574,132.2410025750287,65.2189992251806,10.708998161135241,257.9869978944771,1,1
119,object,22291.246925282,35.989000025438145,115.58400001376867,23.89499786659144,2.5170011213049293,177.98499902710319,1,1
120,object,22291.272599514,107.26199980126694,459.3500016198959,72.18400060082786,5.67399911233224,644.470001134323,1,1
121,object,22291.296275873,48.508001782465726,234.2549996683374,103.4359993354883,9.282000974053517,395.48100176034495,1,1
122,object,22291.322184748,72.6529979147017,485.7300009462051,176.22199811739847,18.599002942210063,753.2039999205153,1,1
123,object,22291.346841639,90.03600280266255,328.2749967183918,59.91900252411142,9.712999599287286,487.94300164445303,1,1
124,object,22291.36990331,158.8770028320141,323.0009970138781,60.54000186850317,8.577000699006021,550.9950024134014,1,1
125,object,22291.39682239,107.84199912450276,444.1880009835586,99.99399844673462,11.495001672301441,663.5190002270974,1,1
126,object,22291.419952523,103.15500185242854,145.02299745799974,27.86100230878219,3.9959995774552226,280.0350011966657,1,1
127,object,22291.444389771,88.80200039129704,305.0279992748983,59.563000831985846,9.210998541675508,462.6039990398567,1,1
128,object,22291.468588112,53.954001486999914,216.98099953937344,29.482001991709694,4.540997906588018,304.95800092467107,1,1
129,object,22291.492764974,88.07300037005916,237.4499999859836,37.55700163310394,4.388999514048919,367.4690015031956,1,1
130,object,22291.516417874,48.275996960001066,204.37100101844408,28.162001399323344,4.081997758476064,284.89099713624455,1,1
131,object,22291.542788813,109.92500028805807,170.11700037983246,30.68699879804626,3.758999810088426,314.4879992760252,1,1
132,object,22291.565984872,52.80000186758116,116.65800047921948,31.023999326862395,4.010998964076862,204.4930006377399,1,1
133,object,22291.591643746,42.375999328214675,115.61000064830296,26.303998311050236,2.793000021483749,187.08299830905162,1,1
134,object,22291.615190793,44.40100019564852,274.73799855215475,40.918999729910865,4.052002623211592,364.11000110092573,1,1
135,object,22291.638522798,39.19099981430918,136.90800187760033,26.682999305194244,4.288998752599582,207.07099974970333,1,1
136,object,22291.664568314,45.93899939209223,308.0589995079208,65.42199844261631,8.00199995865114,427.4219973012805,1,1
137,object,22291.688524467,47.82999894814566,125.27199942269363,28.481001209001988,3.5179982660338283,205.1009978458751,1,1
138,object,22291.713457145,46.745997678954154,126.5640021301806,29.845999961253256,3.0330011213663965,206.1890008917544,1,1
139,object,22291.737363221,41.371000406797975,108.49200043594465,24.204000510508195,3.326997102703899,177.39399845595472,1,1
140,object,22291.76094608,65.1379996270407,259.7599996079225,57.57300095865503,7.032998837530613,389.50399903114885,1,1
141,object,22291.787385576,44.33799767866731,135.08700067177415,30.397000955417752,3.6940000427421182,213.51599934860133,1,1
142,object,22291.811265573,117.74000086006708,256.2019981269259,48.28600140172057,5.126999894855544,427.3550002835691,1,1
